index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
48,4.0,2.0,4.0,6.0,4.0,-0.342658708,,,False,True,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
56,4.0,2.0,2.0,4.0,6.0,-0.352285833,,,False,True,
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,,False,True,
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,,False,True,
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,,False,False,
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,,,False,True,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
191,2.0,2.0,2.0,6.0,2.0,-0.541027778,,,False,False,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.12523074912865587
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.0009267762568622336,False,True,0.7464223102835631
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.0002044170109064393,False,True,0.5517975552302965
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.0003818131113373221,False,True,0.5516837797783264
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,0.0008971503123310484,False,True,0.13063852167004955
12,4.0,4.0,4.0,4.0,4.0,-0.457125,,0.0013491441063440985,False,True,0.10913396158328582
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.0043546066816961704,False,True,0.27859137105403176
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,0.0012078116565011716,False,True,1.6105229460349015
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.001761963250703897,False,True,0.3528040971230972
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.0019083524898861354,False,True,0.5261092269013135
